id,name,web,output,date_subscribed
1,ratantata,https://en.wikipedia.org/wiki/Ratan_Tata,1,2022-08-25 03:16:53.003195
2,ratantata,https://www.instagram.com/ratantata/?hl=en,7,2022-08-25 03:17:49.774193
3,desss,https://www.desss.com/,1,2022-08-25 03:19:55.927714
4,django,https://www.djangoproject.com/,1,2022-08-25 05:46:57.020105
